book_idx,Book-Title,Book-Author
31893,"Crown of Shadows (The Coldfire Trilogy, Book 3)",C. S. Friedman
22522,"Karen's Angel (Baby-Sitters Little Sister, 68)",Ann M. Martin
22653,Karen's Haircut (Baby-Sitters Little Sister (Paperback)),Ann M. Martin
22725,"Karen's Home Run (Baby-Sitters Little Sister, 18)",Ann M. Martin
22726,"Karen's Goldfish (Baby-Sitters Little Sister, 16)",Ann M. Martin
22728,Baby-Sitters Little Sister #14:  Karen's New Year,Ann M. Martin
22729,"Karen's Surprise (Baby-Sitters Little Sister, 13)",Ann M. Martin
22730,"Karen's Ghost (Baby-Sitters Little Sister, 12)",Ann M. Martin
22770,"Karen's School Picture (Baby-Sitters Little Sister, 5)",Ann M. Martin
22784,"Karen's Worst Day (Baby-Sitters Little Sister, 3)",Ann M. Martin
22814,Karen's Carnival (Baby-Sitters Little Sister (Paperback)),Ann M. Martin
22821,"Karen's School Trip (Baby-Sitters Little Sister, 24)",Ann M. Martin
22866,"Karen's Snow Day (Baby-Sitters Little Sister, 34)",Ann M. Martin
35168,Veronika beschlieÃ?Â?t zu sterben.,Paulo Coelho
35361,MÃ?Â¶rder ohne Gesicht.,Henning Mankell
35763,Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore
35932,Warum MÃ?Â¤nner nicht zuhÃ?Â¶ren und Frauen schlecht einparken.,Allan Pease
35945,Warum MÃ?Â¤nner lÃ?Â¼gen und Frauen immer Schuhe kaufen.,Allan Pease
36005,"Herr Der Fliegen (Fiction, Poetry and Drama)",Golding
4577,Running with Scissors,Augusten Burroughs
16392,Roses Are Red (Alex Cross Novels),James Patterson
16541,Violets Are Blue,James Patterson
18246,Serpent's Dance,Larry Brooks
23264,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE
27925,Dreamcatcher,Stephen King
32495,Wild Animus,Rich Shapero
2253,The Plague,Albert  Camus
5708,Restaurant At the End of the Universe,Douglas Adams
12084,Choke,CHUCK PALAHNIUK
20998,"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN
35699,Nackt.,David Sedaris
36312,Relato de un nÃ¡ufrago,Gabriel Garcia Marquez
5218,The Tin Collectors : A Novel (A Shane Scully Novel),Stephen J. Cannell
5442,City of Bones,Michael Connelly
7232,Balance of Power,RICHARD NORTH PATTERSON
7256,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN
12774,Perchance to Dream,Robert B. Parker
12864,Chance,Robert B. Parker
12979,The Devil's Code,John Sandford
12983,Perish Twice,Robert B. Parker
12992,Potshot,Robert B. Parker
13005,Gunman's Rhapsody,Robert B. Parker
13019,Midnight Runner,Jack Higgins
13029,Mortal Prey,John Sandford
13033,Fire Ice: A Novel from the NUMA Files,Clive Cussler
13077,"Retreat, Hell",W. E. B. Griffin
13090,Bad Business,Robert B. Parker
13944,A Little Magic,Nora Roberts
23883,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver
25907,Silent Witness,Richard North Patterson
26516,GOD'S OTHER SON,Don Imus
26744,Fountain Society : A NOVEL,Wes Craven
27519,"Nighttime Is My Time (Clark, Mary Higgins)",Mary Higgins Clark
28159,Angels &amp; Demons,Dan Brown
29494,Homicide: A Year on the Killing Streets,David Simon
30362,Hope of Earth (Geodyssey),Piers Anthony
23987,The Green Mile,Stephen King
30341,01-01-00: The Novel of the Millennium,R. J. Pineiro
17139,The Ritual Bath (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman
17279,Bright Orange for the Shroud,John D. MacDonald
17736,Night over Water,Ken Follett
19270,My Antonia (Dover Thrift Editions),Willa Cather
22142,A Man in Full,Tom Wolfe
29431,Intensive Care: The Story of a Nurse,Echo Heron
29487,Object Lessons,Anna Quindlen
47,The bookshop,Penelope Fitzgerald
26212,The English Patient,Michael Ondaatje
632,I Know This Much Is True (Oprah's Book Club),Wally Lamb
5756,Bridget Jones's Diary,Helen Fielding
21046,EVEN COWGIRLS GET THE BLUES,TOM ROBBINS
21535,Wild Mind: Living the Writer's Life,Natalie Goldberg
21580,Into the Forest,JEAN HEGLAND
23526,How Stella Got Her Groove Back,Terry McMillan
23847,She's Come Undone (Oprah's Book Club),Wally Lamb
24659,Color Purple,Alice Walker
33793,High Maintenance,Jennifer Belle
17079,Fraternity of Stone,DAVID MORRELL
21112,Doom of the Darksword (Darksword Trilogy),Margaret Weis
4085,"Eeyore, Be Happy (Little Golden Book)",Don Ferguson
4180,Disney's The Lion King (A Golden Look-Look Book),M. Hover
4220,Winnie the Pooh and the Honey Tree (Little Golden Books),Golden Books
4223,The Grand and Wonderful Day (Little Golden Book),Mary Packard
4234,"Eeyore, You're the Best (Disney's Pooh)",Ann Braybrooks
12479,The Cat in the Hat,Dr. Seuss
12480,The Cat in the Hat Comes Back (I Can Read It All by Myself Beginner Books),Dr. Seuss
12483,Are You My Mother?,Philip D. Eastman
12485,Hop on Pop (I Can Read It All by Myself Beginner Books),Dr. Seuss
12497,Bears on Wheels (Bright &amp; Early Books),STAN BERENSTAIN
12593,Winnie the Pooh and Tigger Too,A. A. Milne
22774,Clifford's Birthday Party (Clifford the Big Red Dog (Paperback)),Norman Bridwell
22782,"Clifford, the Big Red Dog (Clifford the Big Red Dog (Paperback))",Norman Bridwell
22917,Working Hard With the Busy Fire Truck,Jordan Horowitz
23071,Clifford's Sports Day,Norman Bridwell
27363,Disney's: The Little Mermaid (Disney's Wonderful World of Reading),Walt Disney
27364,Prince and the Pauper Walt Disney,Disney
27365,Disney's Beauty and the Beast,First American Edition
27366,Jungle Book,Walt Disney
27367,Aladdin,Walt Disney
27370,101 Dalmatians,Walt Disney
27371,Disney's Pocahontas (Disney's Wonderful World of Reading),Walt Disney
27372,Dumbo,Walt Disney
9816,Joe Gould's Secret,Joseph Mitchell
36532,As mulheres deviam vir com livro de instruÃ§Ãµes (Campo da literatura),Manuel Jorge Marmelo
4409,The Red Tent (Bestselling Backlist),Anita Diamant
16477,A Walk to Remember,Nicholas Sparks
23581,Bridget Jones : The Edge of Reason,Helen Fielding
24657,Heat and Dust,Ruth Prawer Jhabvala
29551,The Bonesetter's Daughter,Amy Tan
29957,"People of the Sea (The First North Americans series, Book 5)",W. Michael Gear
30019,"People of the Lightning (The First North Americans series, Book 7)",Kathleen O'Neal Gear
30020,"People of the Silence (The First North Americans series, Book 8)",Kathleen O'Neal Gear
203,"On Writing Well, 25th Anniversary : The Classic Guide to Writing Nonfiction (On Writing Well)",William Zinsser
789,When the Storm Breaks,Heather Lowell
1380,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich
3525,Oliver Twist (Penguin Classics),Charles Dickens
3728,The Whale Rider,Witi Ihimaera
3995,Transitions: Making Sense of Life's Changes,William Bridges
5608,Me Talk Pretty One Day,David Sedaris
6859,The Murder Book,Jonathan Kellerman
9890,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE
10166,The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks
10877,The Family Tree,Sheri S. Tepper
11251,Abandon Ship!,Richard F. Newcomb
11817,The Rainmaker,John Grisham
11901,Into the Wild,Jon Krakauer
12036,Oryx and Crake,Margaret Atwood
12127,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger
13056,Short &amp; Tall Tales: Moose County Legends Collected by James Mackintosh Qwilleran,Lilian Jackson Braun
13116,Lord of the Flies,William Gerald Golding
13303,Stephen King's Danse Macabre,Stephen King
13345,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy
13420,The Hunt for Red October (Jack Ryan Novels),Tom Clancy
14052,Keepsake Crimes (First Scrapbooking Mystery),Laura Childs
14470,Thurston House,Danielle Steel
14857,The Partner,John Grisham
14993,Unfit to Practice,Perri O'Shaughnessy
15014,Gone for Good,HARLAN COBEN
15198,Freckle Juice,JUDY BLUME
15650,The Once and Future King,T. H. White
15800,Night Sky,Clare Francis
15840,Presumed Innocent,Scott Turow
16139,Charmed Circle,Carol Smith
16257,The Day After Tomorrow,Allan Folsom
16476,Saving Faith,David Baldacci
16682,The Snow Queen,Joan D. Vinge
17806,Burglars Can't Be Choosers (Onyx Mystery),Lawrence Block
17931,The Fountainhead,Ayn Rand
18124,24 Hours,Greg Iles
19123,The Virgin Blue,Tracy Chevalier
20359,Mars (A Bantam Spectra Book),Ben Bova
21265,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
21544,Doomsday Book,Connie Willis
21826,The Beekeeper's Apprentice,LAURIE R. KING
21906,Vertical Run,Joseph R. Garber
21934,A Monstrous Regiment of Women,LAURIE R. KING
22177,Special Circumstances,SHELDON SIEGEL
23749,Chicken Poop for the Soul : Stories to Harden the Heart and Dampen the Spirit,David Fisher
24037,Long After Midnight,Ray Bradbury
24379,Mindhunter : Inside the FBI's Elite Serial Crime Unit,John E. Douglas
25029,Winter's Tale,Mark Helprin
25149,DEVIL IN A BLUE DRESS : An Easy Rawlins Mystery (Easy Rawlins Mysteries (Paperback)),Walter Mosley
25238,"RED DEATH : Featuring an Original Easy Rawlins Short Story \Silver Lining\"" (Easy Rawlins Mysteries (Paperback))""",Walter Mosley
25557,Chicks in Chainmail,Esther Friesner
25754,Advanced French for Exceptional Cats,Henri De LA Barbe
25768,A Simple Plan,Scott Smith
26089,A Year in Provence,Peter Mayle
26142,Toujours Provence (Vintage Departures),Peter Mayle
27400,Ice Cream As a Clue to the Meaning of the Universe,Billy Sprague
27453,The Meaning Of Life,Bradley Trevor Greive
27754,If Only It Were True,Marc Levy
27806,Pay It Forward,Catherine Ryan Hyde
27866,The Immaculate Deception,Iain Pears
27980,Letters for Emily,Camron Wright
28066,Trading Places,Fern Michaels
28613,Tender at the Bone: Growing Up at the Table,Ruth Reichl
29063,Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole,Dr. Jerri Nielsen
29398,Your Finances in Changing Times (The Christian Financial Concepts Series),Larry Burkett
29853,Gnomes,Will Huygen
29872,The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes,Nick Bantock
29879,"The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis",Nick Bantock
29938,The Red Badge of Courage,Stephen Crane
30133,The Boat of a Million Years,Poul Anderson
30883,Still Pumped From Using The Mouse,Scott Adams
30888,Its Obvious You Wont Survive By Your Wit,Scott Adams
30904,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,Bill Watterson
30913,Prehistory of the Far Side,Gary Larson
30920,Unnatural Selections,Gary Larson
30934,Dilbert Fugitive From The Cubicle Police,Scott Adams
30935,Last Chapter and Worse,Gary Larson
30949,Dilbert: Seven Years Of Highly Defective People (P,Scott Adams
31162,Among the Missing,Richard Laymon
31985,Salt Fish Girl,Larissa Lai
32007,Creative Companion: How to Free Your Creative Spirit,Sark
32009,A Whistling Woman Is Up to No Good: Finding Your Wild Woman,Laurel King
32179,Diary of a Provincial Lady (Provincial Lady),E.M. Delafield
32192,Menopaws: The Silent Meow,Martha Sacks
32330,Juggling for the Complete Klutz/With Block Beanbags,John Cassidy
32566,Honku : The Zen Antidote to Road Rage,AARON NAPARSTEK
33392,What My Cat Has Taught Me About Life: Meditations for Cat Lovers,Niki Anderson
33470,The Power of a Praying Wife,Stormie Omartian
33613,Earthclan,David Brin
34002,31 Days of Praise : Enjoying God Anew,Ruth Myers
36066,A Time for Trolls: Fairy Tales from Norway,Peter C. Asbjornsen
4459,Hot Night in the City,Trevanian
5568,The Lovely Bones: A Novel,Alice Sebold
7194,"Murder at Ford's Theatre (Truman, Margaret, Capital Crimes Series.)",MARGARET TRUMAN
13064,Dirty Work,Stuart Woods
22084,First Evidence,Kenneth W. Goddard
23956,Angels &amp; Demons,Dan Brown
10337,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell
14903,Fortune's Hand,Belva Plain
21417,Still Waters,TAMI HOAG
21838,A Thin Dark Line (Mysteries &amp; Horror),TAMI HOAG
248,Get Shorty,Elmore Leonard
3569,The Character of Cats,Stephen Budiansky
4322,James Herriot's Cat Stories,James Herriot
5220,A Place of Execution,Val McDermid
5864,ONE HUNDRED WAYS TO A HAPPY CAT,Celia Haddon
6199,The Door into Summer,Robert A. Heinlein
10138,Trouble With Thirteen,Betty Miles
14636,Deadlock (V.I. Warshawski Novels (Paperback)),SARA PARETSKY
17399,The Cat Who Went to Paris,Peter Gethers
17656,Dark Forces: New Stories of Suspense and Supernatural Horror,Kirby McCauley
18686,"The Way of the Wolf (The Vampire Earth, Book 1)",E. E. Knight
23836,Inca Gold,Clive Cussler
28305,Unadulterated Cat,Terry Pratchett
33210,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield
34277,The Kindness of Strangers (Armchair Reading),Don George
36491,Turbo-taal: Van socio-babble tot yuppie-speak,Jan Kuitenbrouwer
4602,Ten Big Ones: A Stephanie Plum Novel,Janet Evanovich
5557,3rd Degree,James Patterson
5572,2nd Chance,James Patterson
7258,The Conspiracy Club,JONATHAN KELLERMAN
7259,Therapy,Jonathan Kellerman
11764,"Ransom (Steel, Danielle)",DANIELLE STEEL
11765,Second Chance,DANIELLE STEEL
12051,The King of Torts,John Grisham
12065,The Last Juror,John Grisham
13099,Hidden Prey,John Sandford
13101,Blowout,Catherine Coulter
15078,The King of Torts,JOHN GRISHAM
16224,Split Second,David Baldacci
16620,The Jester,James Patterson
19862,Hemlock Bay,Catherine Coulter
20362,Dying for Chocolate (Culinary Mysteries (Hardcover)),Diane Mott Davidson
22308,The Tail of the Tip-Off,RITA MAE BROWN
22345,"Firestorm (Johansen, Iris)",IRIS JOHANSEN
25624,A Cry In The Night,Mary Higgins Clark
26681,Before I Say Good-Bye : A Novel,Mary Higgins Clark
27516,Daddy's Little Girl,Mary Higgins Clark
33195,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield
2383,Junky,William Burroughs
2903,Brighton Rock (Essential.penguin S.),Graham Greene
1596,Cold Case,Robin Burcell
5106,The Twelve,Howard Kaminsky
5339,In the Bleak Midwinter (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming
153,Once upon a More Enlightened Time: More Politically Correct Bedtime Stories,James Finn Garner
3054,The Witches,Roald Dahl
4372,Bachelor Brothers' Bed &amp; Breakfast Pillow Book,Bill Richardson
4607,Where the Mountain Casts Its Shadow : The Dark Side of Extreme Adventure,Maria Coffey
29214,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer
32517,The No. 1 Ladies' Detective Agency,Alexander McCall Smith
32518,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith
34218,Life As a Daymaker: How to Change the World by Simply Making Someone's Day,David Wagner
9408,The Laws of Our Fathers,Scott Turow
10006,Shardik,Richard Adams
10063,The Thorn Birds,Colleen McCullough
11840,The Runaway Jury,JOHN GRISHAM
12746,Patriot Games,Tom Clancy
15070,The Summons,John Grisham
23609,Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler
23610,FLOOD TIDE,Clive Cussler
23940,Serpent : A Novel from the NUMA Files (Numa Files Series),Clive Cussler
25392,The Gripping Hand,Larry Niven
6238,Ordinary People,Judith Guest
6755,Dark Rivers of the Heart,Dean R. Koontz
10213,White Cargo,Stuart Woods
10534,Mystic River,Dennis Lehane
13189,Auerbach Will,Stephen Birmingham
13471,The Funhouse,Dean R. Koontz
13505,Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy
13620,Hornet's Nest,Patricia Daniels Cornwell
14615,A Time to Kill,JOHN GRISHAM
14647,The Pelican Brief,John Grisham
15199,Great Brain (Yearling),John D. Fitzgerald
16715,Sybil.,Flora Rheta. Schreiber
17194,Angel Eyes,Eric Lustbader
17483,Night shift,Stephen King
17654,Koko,Peter Straub
21473,Darkness,John Saul
22101,Fear Nothing,DEAN KOONTZ
24179,SPELLBINDER,Robbins
25439,Dreams Die First,Harold Robbins
30206,Relic,Douglas Preston
30608,Freeze Frame,Marjorie Dorner
19584,The Cat Who Lived High,Lilian Jackson Braun
20198,On Secret Service: A Novel,John Jakes
27518,The Second Time Around : A Novel,Mary Higgins Clark
31552,The Truth About Witchcraft Today (Llewellyn's New Age),Scott Cunningham
35015,La Nuit Des Temps,Rene Barjavel
1442,Prey,Michael Crichton
5300,The Sunbird,Wilbur Smith
14078,Lightning,Dean Koontz
16559,Lost Light,Michael Connelly
18265,Sleep No More,Greg Iles
18304,"The Gunslinger (The Dark Tower, Book 1)",Stephen King
18306,"The Waste Lands (The Dark Tower, Book 3)",Stephen King
18307,"Wizard and Glass (The Dark Tower, Book 4)",Stephen King
22208,By the Light of the Moon,DEAN KOONTZ
17439,About Schmidt (Ballantine Reader's Circle),Louis Begley
21298,Dead Poets Society,N.H. Kleinbaum
25251,SHAMPOO PLANET,Douglas Coupland
30494,The Day I Turned Uncool: Confessions of a Reluctant Grown-Up,Dan Zevin
33858,Tipping the Velvet,Sarah Waters
35802,Schloss Gripsholm,Kurt Tucholsky
1507,Triggerfish Twist,Tim Dorsey
4683,The Corrections: A Novel,Jonathan Franzen
6279,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN
6568,Women Who Run with the Wolves,CLARISSA PINKOLA PHD ESTES
11932,The Anatomist,Federico Andahazi
14961,The Smoke Jumper,Nicholas Evans
21495,Vectors,Michael P. Kube-McDowell
23274,Aqua Erotica: 18 Stories for a Steamy Bath,Mary Anne Mohanraj
25747,Mexico,James A. Michener
31438,The Road Home,Jim Harrison
31974,"The Dilbert Principle: A Cubicle'S-Eye View of Bosses, Meetings, Management Fads &amp; Other Workplace Afflictions",Scott Adams
32299,50 Simple Things You Can Do to Save the Earth,Earthworks Group
32661,Forbidden Fruit,Erica Spindler
18149,The Promise,May McGoldrick
19381,"Prince of Kisses (Faerie Tale Romance Series , No 2)",Colleen Shannon
25266,Pearl in the Mist (Landry),V.C. Andrews
27946,Tamed by Your Desire (Brides Of The Bloodstone),Jen Holling
31098,Sheik,Connie Mason
2135,Little Bear (An I Can Read Book),Elsa Holmelund Minarik
2793,Hidden Lives,Margaret Forster
16646,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts
16673,The Honk and Holler Opening Soon,Billie Letts
19072,Girl with a Pearl Earring,Tracy Chevalier
25794,Wouldn't Take Nothing for My Journey Now,MAYA ANGELOU
32102,The Baby Games: The Joyful Guide to Child's Play from Birth to Three Years,Elaine Martin
32122,Dairy Hollow House Soup &amp; Bread: A Country Inn Cookbook,Crescent Dragonwagon
6645,Sole Survivor,DEAN KOONTZ
14880,The Street Lawyer,JOHN GRISHAM
16500,The Switch,Sandra Brown
22115,Seize the Night,DEAN KOONTZ
22216,Intensity,DEAN KOONTZ
9425,Smilla's Sense of Snow,Peter Hoeg
9535,Driving Over Lemons: An Optimist in Andalucia,Chris Stewart
11412,Dish: : The Inside Story on the World of Gossip,Jeannette Walls
11536,Circle of Friends,Maeve Binchy
17402,"Italian Neighbors Or, a Lapsed Anglo-Saxon in Verona",Tim Parks
26257,Mama Makes Up Her Mind: And Other Dangers of Southern Living,Bailey White
26315,Quite a Year for Plums: A Novel,Bailey White
26344,Sleeping at the Starlite Motel: And Other Adventures on the Way Back Home,Bailey White
28690,Bill Bryson's African Diary,BILL BRYSON
29451,It Was on Fire When I Lay Down on It,Robert Fulghum
33766,Depth Takes a Holiday: Essays from Lesser Los Angeles,Sandra Tsing Loh
8480,"Rent - A - Friend (Harlequin Love &amp; Laughter, No 42)",Valerie Kirkwood
10772,Bride of the Mist,Christina Skye
14057,Dancing With a Rogue (Berkley Sensation),Patricia Potter
17071,Flaming Tree,Phyllis A. Whitney
18034,"Warrior's Song (Coulter, Catherine. Medieval Song Quartet, 4.)",Catherine Coulter
19400,The Indigo Blade (Legendary Lovers),Linda Jones
19799,Jezebel's Sister,Emily Carmichael
21668,Desire,Amanda Quick
32784,Stolen Heart (Mira),Candace Camp
1121,Bel Canto: A Novel,Ann Patchett
5451,The Lovely Bones,Alice Sebold
5630,The Fig Eater : A Novel,Jody Shields
7334,Blessings,ANNA QUINDLEN
19089,Falling Angels,Tracy Chevalier
19106,Sula,Toni Morrison
26761,The SECRET BOOK OF GRAZIA DEI ROSSI,Jacqueline Park
27598,Good Harbor: A Novel,Anita Diamant
27645,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald
5131,Welcome to Temptation,Jennifer Crusie
5246,Circle of Stars,Anna Lee Waldo
5296,Full Blast (Janet Evanovich's Full Series),Janet Evanovich
10792,Snow Place to Die : A Bed-and-Breakfast Mystery (Bed-And-Breakfast Mysteries (Paperback)),Mary Daheim
16519,The Playboy,Carly Phillips
18128,Scarlet Feather,Maeve Binchy
18295,Wish Come True (Carson Springs Novel),Eileen Goudge
19700,Sea Swept (Quinn Brothers (Paperback)),Nora Roberts
19715,Rising Tides,Nora Roberts
19727,Inner Harbor (Quinn Brothers (Paperback)),Nora Roberts
19886,The Cat Who Went Up the Creek,Lilian Jackson Braun
19918,Chesapeake Blue,Nora Roberts
19922,Key of Knowledge (Key Trilogy (Paperback)),Nora Roberts
19924,"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts
19932,Birthright,Nora Roberts
2522,Joke,Milan Kundera
9696,Prague : A Novel,ARTHUR PHILLIPS
5634,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve
9410,Longitudes and Attitudes: Exploring the World After September 11,Thomas L. Friedman
11893,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM
12869,Cause of Death,Patricia Daniels Cornwell
12944,Black Notice,Patricia Daniels Cornwell
16175,Ten Things I Wish I'd Known Before I Went Out into the Real World,Maria Shriver
19282,100 Best-Loved Poems (Dover Thrift Editions),Philip Smith
20071,The Law of Similars,Christopher A. Bohjalian
24149,"ROAD LESS TRAVELED : A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck
25952,Into Thin Air : A Personal Account of the Mount Everest Disaster,JON KRAKAUER
26555,The Good Life,Ben Bradlee
26963,ANGELA'S ASHES,Frank McCourt
27078,We Are Our Mothers' Daughters,Cokie Roberts
27500,Bush at War,Bob Woodward
28423,97 Ways to Make A Baby Laugh,Jack Moore
29110,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson
32136,Bias: A CBS Insider Exposes How the Media Distort the News,Bernard Goldberg
13510,All Shall Be Well,Deborah Crombie
18199,Mrs. Malory and the Delay of Execution,Hazel Holt
21308,"How to Get Out of Debt, Stay Out of Debt and Live Prosperously",Jerrold Mundis
27861,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley
34346,Emma (Wordsworth Classics),Jane Austen
6661,Winter Moon,Dean R. Koontz
16567,Last Man Standing,David Baldacci
